id,base_id,base_phones,phones
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,"[""9049989600""]","[""+19049989600""]"
08f29a456e42e5830324637954145c50,1125899907111860,"[""6194474353""]","[""+16194474353""]"
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"[""0137573800""]","[""+27137573800""]"
1407374885933937,844424932146366,"[""7705584400""]","[""7705584400""]"
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"[""966803254""]","[""+34966803254""]"
1125899912143279,1407374890190043,"[""8445450602""]","[""8445450602""]"
08f2aa879200ab960398d7c665470cf4,562949954974969,"[""7036423422""]","[""7036423422""]"
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,"[""0318255062""]","[""+31318255062""]"
1407374891126949,562949966191554,"[""7042154057""]","[""7042154057""]"
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"[""966400784""]","[""+34966400784""]"
08f48d621e8c9db103fd54168e9fe11c,1125899912129300,"[""5753939827""]","[""+15753939827""]"
08f44e8346794333033a01eb53999680,1407374890864242,"[""2057470443""]","[""+12057470443""]"
1407374887100674,562949958711311,"[""8033560950""]","[""8033560950""]"
08f2ab2c4b89449a03e88d9391424fd1,562949961699505,"[""4164094360""]","[""+14375517377""]"
1970324842101934,1970324842430502,"[""8045480798""]","[""8042327880""]"
08f281334dcd60a303d3ca8e7eff2b77,562949957672973,"[""5418853166""]","[""+15418853166""]"
08f1f8ed8172e8b203a9f0a42e5a8224,1125899912578717,"[""0448200169""]","[""0448200169""]"
08f44e554128900503a7df0284a7d549,1407374891438357,"[""8502004040""]","[""+18502004040""]"
1125899912492752,562949957705495,"[""4124670907""]","[""4124670907""]"
08f26ea82388e7990365b4a4be4226e2,1407374886399280,"[""9182271000""]","[""9182271000""]"
562949962147432,562949962669156,"[""02075661441""]","[""02075661441""]"
08f2659a2d05a4b103cc0338dfb94fa1,1407374886155785,"[""9014215785""]","[""+19014215785""]"
1407374885778830,1407374885928947,"[""9183920540""]","[""9183920540""]"
08f2a1054d2dd7b003431719d93037ed,1125899907096133,"[""2012261560""]","[""+12012261560""]"
08f2986a82c92b5003309ff5c3c715bf,562949965577447,"[""7253030086""]","[""+17253030086""]"
1125899908867665,1407374890445554,"[""9056311104""]","[""9056311104""]"
08f2a8c10a6a681003edc1e418ee0a32,562949965568735,"[""4349703250""]","[""+14349703250""]"
08f44c2011985b0e030204dcf297b66d,1970324839341272,"[""7063030945""]","[""+17063609400""]"
08f2662cb451449b03d49dcac24ed54a,1407374885793049,"[""3096835700""]","[""3096835700""]"
08f1f1a9ab72151e0395f93e968c61b9,1407374889539614,"[""03455126523""]","[""+493455126523""]"
1407374886630445,562949956278891,"[""5093011661""]","[""5093011661""]"
08f44e06aa0b5a4a03caf2e60bd69a4a,1125899911371512,"[""2295154079""]","[""2296718791""]"
08f1faea1a71d7250355b13ab53cefdb,844424932430088,"[""06926495455""]","[""+496926495455""]"
281474979329236,562949965387375,"[""9729854477""]","[""9729854477""]"
08f26567197a3b3603beda847a81c35f,1125899911053810,"[""9135797533""]","[""+19135797533""]"
1125899912260220,562949959086888,"[""8004532265""]","[""8556591656""]"
08f266d4a16a03ab0311ad6f84dc7077,1125899910428742,"[""5026532417""]","[""+15026532417""]"
08f44c021830026803d17bc7c5fb545d,562949961777702,"[""7622212202""]","[""+17622212202""]"
08f2a100d8654204037ff5b80140ed5d,562949963912237,"[""9175402098""]","[""+19175402098""]"
08f1ea4c402c36690356e3ca028ae6f9,1125899910260202,"[""3516989156""]","[""+390454500300""]"
08f2e614569a86580306294dc87fd829,08f2e614569ab00003e1b072e293ad1b,"[""+81752111215""]",
08f274864eb8c0f30307c49f06635d20,1970324838811072,"[""2693736440""]","[""+12693736440""]"
08f1f916e27045180352f04913bc42cc,08f1f916e27154190345b56b0486a3a7,"[""+33825020020""]","[""+33155215840""]"
1407374885598016,562949964604094,"[""5202931359""]","[""5202931359""]"
08f44a18511700c5039a1e230fdc197c,1407374890168896,"[""3055987004""]","[""+13055987004""]"
08f446c24248389c03f8f8dbd8576f9f,562949963667295,"[""2816728093""]","[""+12816728093""]"
08f3da11a880352a03e1b552a441aa16,08f3da11a881c3a4036450111f6f44b4,"[""+919315222227""]","[""+919382222227""]"
08f1e33450db537303a4d343dac8ccdc,844424934132353,"[""072636365""]","[""+4372636365""]"
1125899911221207,1970324838744829,"[""6145393333""]","[""6145393333""]"
08f2af62655ad02303c1c002aed33a25,1407374888662920,"[""7578664652""]","[""+17578664652""]"
08f2664c9939219403dbde16d5780a75,844424930437611,"[""7084849060""]","[""+17084849060""]"
08f269614b65270a03cda656d6a2aa1f,2251799819345911,"[""8017380378""]","[""+18017380378""]"
08f1f2d6b121bae9037c5aa065d85015,1688849866346166,"[""0104513302""]","[""+46104513302""]"
281474977374045,844424931551851,"[""""]","[""6034248245""]"
08f2a101ab4a4d6603318d4b9c6dea88,1970324839219910,"[""9147931458""]","[""+19147931458""]"
1407374891495088,562949956622481,"[""02890616386""]","[""02890616386""]"
1125899909415294,1407374887700826,"[""6132239868""]","[""6133897900""]"
08f1e9a009660cb00355eadd4822414d,2251799821009277,"[""0916255912""]","[""+390916255912""]"
2251799821514759,844424932099356,"[""7243484051""]","[""7243486229""]"
08f28d1aacab0c5503f03bc3cacd7057,281474977479849,"[""2505901202""]","[""+12505901202""]"
